2025-07-24 17:32:21 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 17:32:28 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-24 17:32:29 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-24 17:32:34 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-24 17:32:34 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-24 17:32:36 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 17:32:41 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-24 17:33:33 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 17:33:41 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-24 17:33:41 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-24 17:33:46 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-24 17:33:46 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-24 17:33:48 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 17:34:22 | INFO | RCS.page.login_page.login_page | Log in failed for facilitymanager 
2025-07-24 19:58:37 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 19:58:46 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-24 19:58:47 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-24 19:58:52 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-24 19:58:53 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-24 19:58:54 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 19:58:59 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-24 20:01:50 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 20:01:58 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-24 20:01:59 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-24 20:02:04 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-24 20:02:04 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-24 20:02:07 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-24 20:02:41 | INFO | RCS.page.login_page.login_page | Log in failed for facilitymanager 
2025-07-25 10:40:57 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:41:06 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 10:41:08 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:42:44 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:42:52 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 10:42:55 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:43:41 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:43:47 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 10:43:50 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:43:54 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-25 10:44:49 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:44:57 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 10:48:47 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:48:55 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 10:48:55 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 10:49:00 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 10:52:39 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:52:47 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
